14544	2.529567	0.752093	2
46556	12.595243	0.008353	3
64933	8.175418	1.450322	1
34100	2.750240	0.858305	1
19616	4.741572	1.020007	2
61654	5.116471	1.391947	1
43500	7.846844	0.702819	3
28399	8.914422	1.115925	3
38552	11.183517	0.495490	3
11027	0.440220	0.177839	2
42720	8.193583	0.578589	3
28156	10.351791	0.608645	3
32352	9.860112	1.131787	3
14506	0.000000	0.813474	2
31162	9.190125	1.165327	3
55837	0.004887	0.989777	1
34947	2.936357	1.524106	1
61537	6.120377	0.625049	1
10615	0.399158	0.752204	2
22567	0.000000	1.287181	2
13015	3.961669	0.329470	2
6903	2.087921	0.757653	2
46473	9.888605	1.184695	3
36273	9.370577	0.456962	3
25065	4.509031	1.654593	1
15704	0.000000	0.127451	2
45577	8.235117	0.834357	3
22513	5.374809	0.270072	1
29578	10.208163	0.108028	3
65918	4.817528	0.119250	1
55028	9.733866	0.775286	1
54439	4.913287	1.208488	1
24719	11.136469	1.685860	3
75534	16.904808	1.231292	1
70441	9.056850	1.000077	1
47423	7.565690	0.628792	3
34598	9.276691	0.016731	3
12712	2.986517	0.244268	2
54969	10.876743	0.400507	3
70292	7.186912	1.100383	1
24872	5.793494	0.585191	1
23974	9.121576	1.699691	3
36796	13.442197	1.563872	3
29580	9.528994	0.684094	3
10352	3.022909	1.270101	2
11665	0.000000	1.173303	2
0	4.893811	0.078796	2
22595	12.613668	0.752107	3
7123	5.243802	1.313069	2
14145	4.129171	1.318271	2
57541	3.252069	0.125141	1
25018	8.555158	0.092971	3
70020	10.710481	0.890120	1
71357	10.319010	1.348569	1
48529	2.778690	0.863343	1
8307	1.663040	0.867667	2
20150	9.730179	1.367834	3
10105	2.469108	0.839360	2
31131	10.168738	1.154907	3
45010	10.808625	0.629730	3
25178	10.283746	1.297980	3
45393	4.757178	0.078660	1
28334	9.812909	1.673638	3
44873	3.453862	0.940983	1
7780	8.532298	0.110081	2
3910	4.409089	1.563860	2
4736	10.671748	1.128954	3
23451	10.174137	1.219783	3
16493	11.048905	0.894028	3
15894	2.482714	0.612692	2
50613	13.831558	0.400789	3
72572	5.893097	0.602329	1
25054	8.214472	0.340002	3
34331	2.280609	1.347240	1
36560	3.137306	1.277581	1
1291	3.791227	0.543295	2
23955	2.104660	1.053948	1
12075	3.378199	1.436161	2
20068	8.355121	1.397308	3
71922	13.363626	0.959637	1
38900	8.264268	1.032572	3
13421	5.499579	0.060948	2
38576	3.434114	1.411797	1
14183	5.762315	0.197921	2
67454	6.333873	0.826043	1
33337	8.648348	0.030204	3
81514	13.563148	1.030502	1
6607	1.131678	0.516981	2
11284	4.109957	0.673909	2
57829	1.091733	1.028297	1
39248	0.422624	1.118701	1
69509	6.534579	0.620431	1
8145	0.000000	0.933866	2
73160	12.525975	0.018894	1
54078	3.000666	0.696277	1
55489	2.690446	0.676169	1
3574	4.477638	0.124469	2
49824	3.510045	0.299185	1
404	3.457422	1.462283	2
34777	9.560817	1.691956	3
45568	9.432861	0.118742	3
58107	2.688100	1.305448	1
49358	2.159836	0.378169	1
47484	6.028630	1.426391	1
41291	12.088908	0.029746	3
2930	4.887490	1.309937	2
56831	9.896944	0.371558	3
31191	11.242817	0.264660	3
